twz0_Axial_Position_dat(um),twz0_Axial_Stark_shift_dat(MHz),twz1_Axial_Position_dat(um),twz1_Axial_Stark_shift_dat(MHz),twz2_Axial_Position_dat(um),twz2_Axial_Stark_shift_dat(MHz),twz3_Axial_Position_dat(um),twz3_Axial_Stark_shift_dat(MHz),twz4_Axial_Position_dat(um),twz4_Axial_Stark_shift_dat(MHz)
-0.14869849246231157,-0.7763154904325007,-0.14869849246231157,3.4400471561861794,-0.14869849246231157,15.10762973906917,-0.14869849246231157,28.76212337098401,-0.14869849246231157,20.66074670114697
-0.1397638190954774,-0.7509230886798149,-0.1397638190954774,3.2973627903785188,-0.1397638190954774,14.666360764457407,-0.1397638190954774,28.201685826518915,-0.1397638190954774,20.0987948418062
-0.1308291457286432,-0.7270113315712998,-0.1308291457286432,3.156644859884066,-0.1308291457286432,14.230757100096938,-0.1308291457286432,27.64903661990551,-0.1308291457286432,19.552460265689138
-0.12189447236180903,-0.7048120464784554,-0.12189447236180903,3.0186056748050127,-0.12189447236180903,13.803037568780448,-0.12189447236180903,27.10706697456817,-0.12189447236180903,19.024384154059092
-0.1129597989949749,-0.6845404581498813,-0.1129597989949749,2.883943985511582,-0.1129597989949749,13.385380834101955,-0.1129597989949749,26.578612243050863,-0.1129597989949749,18.51711942008065
-0.10402512562814072,-0.6663931020813593,-0.10402512562814072,2.7533414455878242,-0.10402512562814072,12.979914303056017,-0.10402512562814072,26.066437073669732,-0.10402512562814072,18.03311836710324
-0.09509045226130654,-0.6505459190804995,-0.09509045226130654,2.6274591613208527,-0.09509045226130654,12.588703289721387,-0.09509045226130654,25.57322094705983,-0.09509045226130654,17.57472083332935
-0.08615577889447235,-0.6371525494993722,-0.08615577889447235,2.5069343451999027,-0.08615577889447235,12.213740495225611,-0.08615577889447235,25.10154415828259,-0.08615577889447235,17.144142880180468
-0.07722110552763817,-0.6263428436727488,-0.07722110552763817,2.392377090365101,-0.07722110552763817,11.856935857576339,-0.07722110552763817,24.653874317829672,-0.07722110552763817,16.743466079045188
-0.06828643216080404,-0.6182216030034334,-0.06828643216080404,2.2843672823336068,-0.06828643216080404,11.520106823060932,-0.06828643216080404,24.232553442144077,-0.06828643216080404,16.37462744820144
-0.05935175879396987,-0.612867563900011,-0.05935175879396987,2.1834516636358563,-0.05935175879396987,11.20496908876866,-0.05935175879396987,23.839785701195435,-0.05935175879396987,16.03941008856129
-0.05041708542713569,-0.6103326344178631,-0.05041708542713569,2.090141066220662,-0.05041708542713569,10.913127863390109,-0.05041708542713569,23.477625887208873,-0.05041708542713569,15.739434563508642
-0.0414824120603015,-0.6106413910043045,-0.0414824120603015,2.0049078256386306,-0.0414824120603015,10.646069690808389,-0.0414824120603015,23.147968664874085,-0.0414824120603015,15.476151064502822
-0.032547738693467325,-0.6137908402269605,-0.032547738693467325,1.9281833900932408,-0.032547738693467325,10.405154878130109,-0.032547738693467325,22.852538659272998,-0.032547738693467325,15.250832400322395
-0.0236130653266332,-0.6197504477954545,-0.0236130653266332,1.8603561364624919,-0.0236130653266332,10.191610566725286,-0.0236130653266332,22.5928814333816,-0.0236130653266332,15.064567843841749
-0.014678391959799017,-0.6284624345950398,-0.014678391959799017,1.8017694043463561,-0.014678391959799017,10.006524481569986,-0.014678391959799017,22.370355402347915,-0.014678391959799017,14.91825786608743
-0.005743718592964835,-0.6398423368620902,-0.005743718592964835,1.752719758091638,-0.005743718592964835,9.850839390730577,-0.005743718592964835,22.18612472684703,-0.005743718592964835,14.81260978303169
0.0031909547738693464,-0.6537798250704852,0.0031909547738693464,1.7134554855918092,0.0031909547738693464,9.72534830321111,0.0031909547738693464,22.041153222692156,0.0031909547738693464,14.748134336168238
0.012125628140703528,-0.6701397735896824,0.012125628140703528,1.684175341460859,0.012125628140703528,9.630690429624462,0.012125628140703528,21.93619931856403,0.012125628140703528,14.725143223400968
0.021060301507537706,-0.6887635707440165,0.021060301507537706,1.665027540943175,0.021060301507537706,9.56734792626224,0.021060301507537706,21.871812088237586,0.021060301507537706,14.74374759218222
0.029994974874371833,-0.7094706565720403,0.029994974874371833,1.6561090096522575,0.029994974874371833,9.535643439148128,0.029994974874371833,21.848328378063687,0.029994974874371833,14.803857502185341
