Delta/Gamma,photon counts/10^3 (odt=0),photon counts/10^3 (odt=1),photon counts/10^3 (odt=2),photon counts/10^3 (odt=3),photon counts/10^3 (odt=4),photon counts/10^3 (odt=5)
-0.41414141414141525,66.78778633916869,95.07271298657378,157.3940748473774,359.2168713808455,2243.3220730218563,37698.05766216806
-0.2727272727272734,69.8359787798345,100.11564551081065,168.21274799429722,398.8780270831319,2987.3789911623317,15640.758406862791
-0.1313131313131315,73.09771389327457,105.57072154443875,180.18645179820547,445.4895004867303,4173.803188733267,8507.810334219352
0.010101010101010388,76.59341408508574,111.48410679501744,193.4856530545633,500.77547854089255,6237.851442377634,5337.968698022313
0.1515151515151505,80.34600283843963,117.90861672783097,208.31346758561432,567.0299487814076,10319.118644221775,3658.58270989998
0.2929292929292924,84.38128148356569,124.90489997970154,224.91346191098273,647.3585575936534,20252.214693593127,2662.9940058094944
0.43434343434343425,88.72837388606908,132.54287496881096,243.5797197706682,746.0492945790867,56430.05467536313,2024.7052180310725
0.5757575757575744,93.42025341566136,140.9034835584042,264.66995731272584,869.1568371013309,515806.0509766129,1591.1518696405606
0.7171717171717162,98.49437006579853,150.08084433899728,288.62278966878614,1025.4538294705444,492539.0612268239,1283.2908610725287
0.8585858585858581,103.99340008274217,160.18491309364683,315.9807215229724,1228.0381496226207,55568.51827767702,1056.845386904018
1.0,109.96614623880517,171.344791713599,347.421137640062,1497.1690877643014,20066.126355505072,885.4475132920969
